State,Year,Price ($/MWh)
KS,2018,64.55
KS,2019,45.61
KS,2020,
KS,2021,25.42
KS,2022,29.33
KS,2023,
KS,2024,
KY,2015,67.49374999999999
KY,2016,50.153333333333336
KY,2017,61.88916666666667
KY,2018,37.49111111111111
KY,2019,36.105666666666664
KY,2020,32.44528571428572
KY,2021,37.938
KY,2022,53.078
KY,2023,47.09
KY,2024,48.63
LA,2015,56.3
LA,2016,
LA,2017,33.553333333333335
LA,2018,52.657777777777774
LA,2019,43.309
LA,2020,32.802
LA,2021,29.088
LA,2022,43.7
LA,2023,47.09
LA,2024,48.63
MA,2015,
MA,2016,
MA,2017,82.18875
MA,2018,
MA,2019,45.04
MA,2020,44.66
MA,2021,
MA,2022,62.06
MA,2023,
MA,2024,
MD,2015,75.07
MD,2016,50.153333333333336
MD,2017,90.225
MD,2018,34.21666666666667
MD,2019,31.203333333333333
MD,2020,32.08857142857143
MD,2021,43.12
MD,2022,48.086
MD,2023,
MD,2024,
ME,2015,
ME,2016,
ME,2017,82.18875
ME,2018,
ME,2019,45.04
ME,2020,44.66
ME,2021,
ME,2022,62.06
ME,2023,
ME,2024,
MI,2015,67.49374999999999
MI,2016,50.153333333333336
MI,2017,61.88916666666667
MI,2018,37.49111111111111
MI,2019,36.105666666666664
MI,2020,32.44528571428572
MI,2021,37.938
MI,2022,53.078
MI,2023,47.09
MI,2024,48.63
MN,2015,56.3
MN,2016,
MN,2017,33.553333333333335
MN,2018,52.657777777777774
MN,2019,43.309
MN,2020,32.802
MN,2021,29.088
MN,2022,43.7
MN,2023,47.09
MN,2024,48.63
MO,2015,56.3
MO,2016,
MO,2017,33.553333333333335
MO,2018,52.657777777777774
MO,2019,43.309
MO,2020,32.802
MO,2021,29.088
MO,2022,43.7
MO,2023,47.09
MO,2024,48.63
MS,2015,60.334999999999994
MS,2016,51.52
MS,2017,34.852666666666664
MS,2018,34.71977777777778
MS,2019,33.06677777777777
MS,2020,30.13975
MS,2021,29.9005
MS,2022,44.54
MS,2023,46.68000000000001
MS,2024,48.63
MT,2015,53.29642857142857
MT,2016,41.1525
MT,2017,33.74
MT,2018,43.32677938808373
MT,2019,36.25025925925926
MT,2020,28.136
MT,2021,26.235333333333333
MT,2022,38.473749999999995
MT,2023,37.809
MT,2024,37.71333333333334
NC,2015,67.91125
NC,2016,50.83666666666667
NC,2017,63.1885
NC,2018,31.445333333333334
NC,2019,28.16444444444444
NC,2020,29.783035714285713
NC,2021,35.082499999999996
NC,2022,39.548
NC,2023,46.27
NC,2024,
ND,2015,56.3
ND,2016,
ND,2017,33.553333333333335
ND,2018,52.657777777777774
ND,2019,43.309
ND,2020,32.802
ND,2021,29.088
ND,2022,43.7
ND,2023,47.09
ND,2024,48.63
NE,2015,52.6825
NE,2016,
NE,2017,
NE,2018,64.55
NE,2019,45.61
NE,2020,
NE,2021,25.42
NE,2022,29.33
NE,2023,
NE,2024,
NH,2015,
NH,2016,
NH,2017,82.18875
NH,2018,
NH,2019,45.04
NH,2020,44.66
NH,2021,
NH,2022,62.06
NH,2023,
NH,2024,
NJ,2015,75.07
NJ,2016,50.153333333333336
NJ,2017,90.225
NJ,2018,34.21666666666667
NJ,2019,31.203333333333333
NJ,2020,32.08857142857143
