Year,State,fueltypeid,fuelTypeDescription,Ash Content (%),Generation (Thousands of MWh),Sulfur Content (%),Total Consumption (millions of MMBtu),Raw Cost (Millions of $),CO2 Emissions (Million Metric Tons),Cost ($/MWh),Heat_Rate (Btu/kWh),efficiency%,Emission_Factor_CO2,CO2_Intensity_kg_per_MWh,CtoE_Ratio
2023,GA,TSN,estimated total solar,,8068.59236,,,,,46.27,,,0,,0.0
2023,AR,TSN,estimated total solar,,1194.03417,,,,,47.09,,,0,,0.0
2023,ME,COW,all coal products,6.66,43.20506,0.97,1.29501,7.0,0.1,162.01805992168508,29973.572539883055,11.383361110725016,95,2314.5437131669296,0.07
2023,KS,NUC,nuclear,,10301.865,,107.67254,66.5,,6.455141860235987,10451.752182735845,32.645243977712425,0,,0.0
2023,OR,PET,petroleum,,0.19502,,0.00199,0.0,21.6,0.0,10204.081632653062,33.437599999999996,73,110757870.98759101,0.0
2023,OH,NG,natural gas,,78704.77666,,597.48299,1262.2,75.9,16.037146073771734,7591.445085742271,44.945329399908104,53,964.3633235614598,0.01662977602108037
2023,FL,PET,petroleum,0.32,1202.44055,4.95,13.46578,106.5,128.8,88.5698673418823,11198.70749535185,30.467801765660806,73,107115.48275713091,0.0008268633540372669
2023,FL,COW,all coal products,8.76,11691.45238,2.8,127.88145,428.6,12.4,36.659260634990495,10938.029411877056,31.1939186805905,95,1060.6039007790064,0.03456451612903226
2023,VT,PET,petroleum,,2.61064,,0.05133,0.7,4.7,268.13348450954555,19661.84537124996,17.353406740697448,73,1800324.8245640916,0.00014893617021276596
2023,VT,NG,natural gas,,1.2637,,0.10321,0.0,0.7,0.0,81672.86539526786,4.17764208894487,53,553928.9388304186,0.0
2023,VA,NG,natural gas,,50604.69376,,410.20817,1240.6,34.5,24.51551245194216,8106.128888862975,42.09160805088793,53,681.7549408286351,0.03595942028985507
2023,OH,WNT,onshore wind turbine,,2819.321,,9.61959,,,,3412.023675204065,99.99930612427349,0,,0.0
2023,CT,PET,petroleum,,124.20381,0.3,1.69228,26.5,20.1,213.35899438189537,13625.024868399769,25.042156127827546,73,161830.78441796592,0.0013184079601990051
2023,OR,WNT,onshore wind turbine,,8953.566,,30.54957,,,27.0,3412.0003136180603,99.99999080838126,0,,0.0
2023,OR,NG,natural gas,,23384.81961,,181.12604,881.3,17.2,37.68684192129203,7745.453803823462,44.051647410455175,53,735.5198922571462,0.051238372093023246
2023,TN,WNT,onshore wind turbine,,16.213,,0.05532,,,,3412.0767285511624,99.99775126536515,0,,0.0
2023,TN,NG,natural gas,,15029.97376,,138.60248,291.3,20.7,19.381271361580872,9221.737989248491,36.999533102957464,53,1377.2479134388054,0.014072463768115943
2023,WV,NG,natural gas,,3679.6577,,40.84029,64.6,15.9,17.555980818541897,11098.937273431711,30.741681982179852,53,4321.054102396535,0.0040628930817610065
2023,CO,WNT,onshore wind turbine,,16091.081,,54.90276,,,27.0,3411.9994797117733,100.00001524877801,0,,0.0
2023,CO,PET,petroleum,,47.93543,,2.935,77.5,35.2,1616.7582099503438,61228.19801553883,5.572595814650766,73,734321.1482613175,0.0022017045454545453
2023,NM,COW,all coal products,19.41,7371.81332,0.85,73.7566,263.6,7.2,35.75782355812559,10005.218091985,34.10220515566064,95,976.6932079609417,0.03661111111111111
2023,LA,NUC,nuclear,,12211.457,,127.63112,73.4,,6.0107487583177015,10451.751989955006,32.64524457984855,0,,0.0
2023,CO,NG,natural gas,,17219.75981,,148.49167,549.6,27.4,31.916821492529287,8623.32992088349,39.567081757326854,53,1591.1952490817002,0.020058394160583942
2023,ME,WNT,onshore wind turbine,,2338.71,,7.97968,,,,3412.000632827499,99.99998145289034,0,,0.0
2023,AK,WNT,onshore wind turbine,,111.36886,,0.38004,,,,3412.4440171157357,99.98698829596884,0,,0.0
2023,DE,NG,natural gas,,4382.64005,,43.97482,57.9,4.4,13.211215007264856,10033.865318234382,34.00484152203466,53,1003.9610713638233,0.013159090909090908
2023,MI,NUC,nuclear,,27996.108,,292.60838,158.7,,5.668645084523892,10451.752079253301,32.64524430093219,0,,0.0
2023,WV,TSN,estimated total solar,,47.30431,,,,,,,,0,,0.0
2023,NC,NUC,nuclear,,42335.726,,442.54374,244.6,,5.777626206292057,10453.198322381433,32.640727696656604,0,,0.0
2023,IA,TSN,estimated total solar,,911.10882,,,,,47.09,,,0,,0.0
2023,AK,NG,natural gas,,3182.4071,,28.43803,224.7,22.9,70.60693146392238,8936.012617618908,38.1825781363899,53,7195.810994765566,0.009812227074235806
2023,SC,TSN,estimated total solar,,3351.29057,,,,,46.27,,,0,,0.0
2023,SC,NUC,nuclear,,55622.34,,581.35091,321.5,,5.780051684269306,10451.752119741815,32.645244174469426,0,,0.0
