Year,State,fueltypeid,fuelTypeDescription,Ash Content (%),Generation (Thousands of MWh),Sulfur Content (%),Total Consumption (millions of MMBtu),Cost ($/MWh),Raw Cost (Millions of $),Heat_Rate (Btu/kWh),efficiency%,Emission_Factor_CO2,CO2_Intensity_kg_per_MWh,CtoE_Ratio
2023,CT,PET,petroleum,,124.20381,0.3,1.69228,,26.5,13625.024868399769,25.042156127827546,73,994.6268153931832,0.0
2023,OR,WNT,onshore wind turbine,,8953.566,,30.54957,27.0,,3412.0003136180603,99.99999080838126,0,0.0,inf
2023,OR,NG,natural gas,,23384.81961,,181.12604,,881.3,7745.453803823462,44.051647410455175,53,410.5090516026435,0.0
2023,TN,WNT,onshore wind turbine,,16.213,,0.05532,,,3412.0767285511624,99.99775126536515,0,0.0,0.0
2023,TN,NG,natural gas,,15029.97376,,138.60248,,291.3,9221.737989248491,36.999533102957464,53,488.75211343017,0.0
2023,WV,NG,natural gas,,3679.6577,,40.84029,,64.6,11098.937273431711,30.741681982179852,53,588.2436754918806,0.0
2023,CO,WNT,onshore wind turbine,,16091.081,,54.90276,27.0,,3411.9994797117733,100.00001524877801,0,0.0,inf
2023,CO,PET,petroleum,,47.93543,,2.935,,77.5,61228.19801553883,5.572595814650766,73,4469.658455134335,0.0
2023,NM,COW,all coal products,19.41,7371.81332,0.85,73.7566,,263.6,10005.218091985,34.10220515566064,95,950.4957187385749,0.0
2023,LA,NUC,nuclear,,12211.457,,127.63112,,73.4,10451.751989955006,32.64524457984855,0,0.0,0.0
2023,CO,NG,natural gas,,17219.75981,,148.49167,,549.6,8623.32992088349,39.567081757326854,53,457.036485806825,0.0
2023,ME,WNT,onshore wind turbine,,2338.71,,7.97968,,,3412.000632827499,99.99998145289034,0,0.0,0.0
2023,AK,WNT,onshore wind turbine,,111.36886,,0.38004,,,3412.4440171157357,99.98698829596884,0,0.0,0.0
2023,DE,NG,natural gas,,4382.64005,,43.97482,,57.9,10033.865318234382,34.00484152203466,53,531.7948618664223,0.0
2023,MI,NUC,nuclear,,27996.108,,292.60838,,158.7,10451.752079253301,32.64524430093219,0,0.0,0.0
2023,WV,TSN,estimated total solar,,47.30431,,,,,,,0,,0.0
2023,NC,NUC,nuclear,,42335.726,,442.54374,,244.6,10453.198322381433,32.640727696656604,0,0.0,0.0
2023,IA,TSN,estimated total solar,,911.10882,,,47.09,,,,0,,0.0
2023,AK,NG,natural gas,,3182.4071,,28.43803,,224.7,8936.012617618908,38.1825781363899,53,473.6086687338021,0.0
2023,SC,TSN,estimated total solar,,3351.29057,,,46.27,,,,0,,0.0
2023,SC,NUC,nuclear,,55622.34,,581.35091,,321.5,10451.752119741815,32.645244174469426,0,0.0,0.0
2023,SC,NG,natural gas,,23691.4439,,195.03298,,746.2,8232.21162978589,41.44694224884427,53,436.30721637865224,0.0
2023,CO,TSN,estimated total solar,,5319.19833,,,28.528,,,,0,,0.0
2023,NY,PET,petroleum,,413.01517,0.36,5.0128,,68.8,12137.084456244065,28.112187999521225,73,886.0071653058168,0.0
2023,NY,NUC,nuclear,,27524.923,,287.68367,,185.2,10451.752035782261,32.64524443671064,0,0.0,0.0
2023,OK,WNT,onshore wind turbine,,37012.334,,126.28608,,,3411.999902518982,100.0000028570053,0,0.0,0.0
2023,OK,NG,natural gas,,45212.91499,,382.27799,,1096.6,8455.061791184016,40.354524712730644,53,448.11827493275285,0.0
2023,IA,WNT,onshore wind turbine,,41439.49501,,141.39176,33.0,,3412.0048993328696,99.9998564089732,0,0.0,inf
2023,NH,NUC,nuclear,,9534.781,,99.65517,,58.6,10451.752379000629,32.64524336469448,0,0.0,0.0
2023,MI,WNT,onshore wind turbine,,8292.415,,28.29372,33.0,,3412.000002411842,99.99999992931295,0,0.0,inf
2023,AR,COW,all coal products,4.7,16844.43645,0.22,178.45679,,387.6,10594.405489890996,32.20567688536816,95,1006.4685215396447,0.0
2023,KS,COW,all coal products,5.22,16290.68363,0.28,182.05702,,308.7,11175.529777322183,30.530991084859018,95,1061.6753288456073,0.0
2023,MO,NUC,nuclear,,9179.744,,95.94441,,67.5,10451.752249300198,32.64524376980379,0,0.0,0.0
2023,IN,TSN,estimated total solar,,2203.21296,,,47.09,,,,0,,0.0
2022,TN,TSN,estimated total solar,,751.55145,,,39.548,,,,0,,0.0
2022,TN,COW,all coal products,8.04,15885.53977,1.74,190.96541,,618.3,12021.335929713894,28.38286875892341,95,1142.02691332282,0.0
2022,UT,NG,natural gas,,11107.08691,,89.05552,,685.4,8017.900708044428,42.55477991360895,53,424.9487375263547,0.0
2022,OH,PET,petroleum,,1272.60495,,23.32457,,141.8,18328.209394439335,18.616112062944783,73,1337.9592857940715,0.0
2022,PA,TSN,estimated total solar,,1046.53604,,,48.086,,,,0,,0.0
2022,OK,PET,petroleum,,28.5796,,0.33069,,7.6,11570.840739548488,29.48791774773958,73,844.6713739870397,0.0
2022,NH,PET,petroleum,,445.35174,0.48,4.34367,,79.6,9753.346871396529,34.98286326723715,73,711.9943216119466,0.0
2022,NH,NG,natural gas,,4501.92276,,33.47054,,291.2,7434.721070158918,45.892777520530004,53,394.0402167184227,0.0
2022,UT,WNT,onshore wind turbine,,723.439,,2.46838,29.55555555555556,,3412.0084761811295,99.99975157795801,0,0.0,inf
2022,WY,NG,natural gas,,1661.25445,,22.96939,,86.2,13826.533316434457,24.67719074559664,53,732.8062657710262,0.0
2022,WI,WNT,onshore wind turbine,,1815.722,,6.19525,27.0,,3412.0035996699935,99.99989449981841,0,0.0,inf
2022,AK,TSN,estimated total solar,,15.71979,,,,,,,0,,0.0
2022,KS,NUC,nuclear,,8981.959,,93.84009,,59.3,10447.619500378481,32.658157199124595,0,0.0,0.0
2022,MA,PET,petroleum,,756.06189,0.3,7.31517,,137.8,9675.358719641326,35.26484235745716,73,706.3011865338168,0.0
2022,MA,NG,natural gas,,15775.96667,,133.50796,,1397.9,8462.743538491515,40.31789436228371,53,448.5254075400503,0.0
2022,NE,WNT,onshore wind turbine,,12614.061,,43.03918,29.0,,3412.000306641929,99.99999101283994,0,0.0,inf
2022,NE,NG,natural gas,,1260.18185,,13.41907,,112.3,10648.51870386802,32.0420153721532,53,564.371491305005,0.0
2022,IL,TSN,estimated total solar,,2794.9352,,,53.078,,,,0,,0.0
2022,GA,COW,all coal products,7.06,16778.38303,1.36,179.98955,,676.3,10727.46698404584,31.806203692581043,95,1019.1093634843547,0.0
2022,IL,WNT,onshore wind turbine,,23493.80554,,80.16085,27.0,,3411.999382710477,100.00001809172434,0,0.0,inf
2022,IL,NUC,nuclear,,98869.581,,1032.95171,,641.0,10447.618969883164,32.65815885739712,0,0.0,0.0
2022,IA,COW,all coal products,4.92,18172.12614,0.31,226.117,,332.3,12443.067930410041,27.420890242520464,95,1182.0914533889538,0.0
2022,CT,TSN,estimated total solar,,1470.31565,,,62.06,,,,0,,0.0
2022,CA,WNT,onshore wind turbine,,14638.061,,49.94505,,,3411.999034571587,100.00002829509631,0,0.0,0.0
2022,DE,TSN,estimated total solar,,221.93297,,,48.086,,,,0,,0.0
2022,NM,TSN,estimated total solar,,2566.43969,,,28.675625,,,,0,,0.0
