Year,State,fueltypeid,fuelTypeDescription,Ash Content (%),Generation (Thousands of MWh),Sulfur Content (%),Total Consumption (millions of MMBtu),Cost ($/MWh),Raw Cost (Millions of $)
2022,AR,COW,all coal products,4.74,20360.86942,0.22,210.02669,,486.8
2022,WY,TSN,estimated total solar,,208.87296,,,28.02125,
2022,WY,PET,petroleum,,53.03027,,0.57641,,14.2
2022,CA,COW,all coal products,8.52,251.5649,0.42,12.68828,,0.0
2022,WA,COW,all coal products,8.28,3565.97183,0.39,42.20367,,130.0
2022,WA,WNT,onshore wind turbine,,8060.912,,27.50383,29.555555555555557,
2022,NE,PET,petroleum,,35.10891,,0.47292,,11.1
2022,IA,TSN,estimated total solar,,693.46297,,,43.7,
2022,FL,NUC,nuclear,,30768.329,,321.45578,,155.6
2022,OK,COW,all coal products,5.13,8954.03136,0.26,103.53176,,265.1
2022,WY,COW,all coal products,7.0,33517.8958,0.41,385.02786,,594.0
2022,OR,PET,petroleum,,1.6679,,0.01648,,0.3
2022,OH,COW,all coal products,9.24,42992.71249,3.65,446.94354,,1258.2
2022,CO,TSN,estimated total solar,,3771.73947,,,28.02125,
2022,MO,WNT,onshore wind turbine,,7524.605,,25.67395,28.0,
2022,AZ,NUC,nuclear,,31942.793,,333.72613,,220.3
2022,AZ,NG,natural gas,,45053.24482,,350.62444,,2939.2
2022,MS,NUC,nuclear,,8600.33,,89.85297,,55.8
2022,CO,WNT,onshore wind turbine,,16911.126,,57.70075,29.555555555555557,
2022,CO,PET,petroleum,,27.20574,,0.37589,,10.0
2022,VT,TSN,estimated total solar,,413.50692,,,62.06,
2022,TN,WNT,onshore wind turbine,,14.865,,0.05072,,
2022,DC,NG,natural gas,,80.27208,,1.20223,,0.0
2022,TN,NG,natural gas,,16520.81238,,159.15619,,722.1
2021,HI,WNT,onshore wind turbine,0.0,657.891,0.0,5.81839,,
2021,MD,PET,petroleum,0.0,72.66898,0.0,1.1622,,17.8
2021,MD,NUC,nuclear,0.0,14993.633,0.0,156.37029,,114.1
2021,SC,TSN,estimated total solar,,2707.4398,,,27.045,
2021,SC,PET,petroleum,0.0,86.1746,1.2,1.22253,,13.8
2021,SC,NUC,nuclear,0.0,53771.428,0.0,560.84102,,564.1
2021,WI,COW,all coal products,4.96,27441.58672,0.37,282.65966,,567.9
2021,NV,WNT,onshore wind turbine,0.0,339.944,0.0,3.00647,29.666666666666668,
2021,NV,TSN,estimated total solar,,7655.79907,,,20.53,
2021,IL,WNT,onshore wind turbine,0.0,19133.08783,0.0,169.21303,22.666666666666664,
2021,IL,NUC,nuclear,0.0,96994.458,0.0,1011.56616,,667.5
2021,WA,TSN,estimated total solar,,358.59672,,,20.53,
2021,GA,NG,natural gas,0.0,56673.11501,0.0,444.05863,,1762.6
2021,FL,NUC,nuclear,0.0,29514.894,0.0,307.81417,,168.1
2021,NH,COW,all coal products,7.6,284.16345,2.88,3.25858,,13.0
2021,IL,PET,petroleum,0.0,53.97006,0.0,0.65884,,11.3
2021,IL,NG,natural gas,0.0,20664.59802,0.0,203.18897,,738.0
