Year,State,fuelTypeDescription,Generation_MWh,Expenditure_USD,Price_per_MWh
2018,CT,natural gas,20006457.48,653200000.0,32.64945833878832
2018,DC,natural gas,22770.09,0.0,0.0
2018,DE,all coal products,273388.13,11300000.0,41.333177120747706
2018,DE,natural gas,5400154.88,115300000.0,21.35123946667248
2018,DE,petroleum,200823.91,28900000.0,143.90716722924077
2018,FL,all coal products,30272200.830000002,905600000.0,29.91523494065033
2018,FL,nuclear,29312349.0,193000000.0,6.584255666442836
2018,FL,petroleum,2077358.49,144200000.0,69.41507722145734
2018,GA,all coal products,32180554.94,911500000.0,28.32455815940631
2018,GA,natural gas,51972109.92,1498300000.0,28.828923865248377
2018,GA,nuclear,34362676.0,282300000.0,8.215308959057786
2018,HI,all coal products,1311202.96,47100000.0,35.92121238042355
2018,HI,petroleum,6748947.1899999995,911200000.0,135.01365092175214
2018,IA,all coal products,28552998.59,455100000.0,15.938781300517691
2018,IA,nuclear,4895399.0,38100000.0,7.782818111455266
2018,IA,petroleum,110565.31,12200000.0,110.34202318973284
2018,ID,all coal products,20338.149999999998,0.0,0.0
2018,ID,petroleum,57.22,0.0,0.0
2018,IL,all coal products,59641923.9,1102300000.0,18.48196583745683
2018,IL,natural gas,17240918.79,481100000.0,27.90454533542873
2018,IL,nuclear,98101527.0,737000000.0,7.512625160258718
2018,IL,petroleum,53110.78,10000000.0,188.2856926597576
2018,IN,all coal products,77455228.74000001,1748900000.0,22.57949564477653
2018,IN,natural gas,26816994.869999997,675000000.0,25.17060555338802
2018,IN,petroleum,130616.53999999998,20200000.0,154.65116439311595
2018,KS,all coal products,20473983.03,384000000.0,18.755510319478855
2018,KS,natural gas,3005715.3,94200000.0,31.340293606649972
2018,KS,nuclear,9168289.0,56000000.0,6.108009902392911
2018,KS,petroleum,52015.72,11200000.0,215.3195226366183
2018,KY,all coal products,59168143.279999994,1245100000.0,21.04341848463696
2018,KY,natural gas,14614998.77,423000000.0,28.942869353385515
2018,LA,natural gas,61781773.99,1023700000.0,16.569611616618456
2018,LA,petroleum,4377794.369999999,126600000.0,28.918672121185086
2018,MA,natural gas,18385821.240000002,656500000.0,35.706862991342774
2018,MD,all coal products,10066923.66,284300000.0,28.241000885865464
2018,ME,all coal products,70827.81,6100000.0,86.12436273266108
2018,ME,natural gas,2330716.91,67500000.0,28.961046152962435
2018,ME,petroleum,189107.04,24800000.0,131.14265867627137
2018,MI,all coal products,42330863.58,961400000.0,22.711561227260937
2018,MI,nuclear,30478694.0,201600000.0,6.61445664305695
2018,MI,petroleum,1213512.19,41700000.0,34.36306643116622
2018,MN,all coal products,23455356.479999997,530200000.00000006,22.604644719516116
2018,MN,petroleum,46573.65,7200000.0,154.59385296192158
2018,MO,natural gas,7050055.38,214400000.0,30.411108628766545
2018,MO,nuclear,10655279.0,95100000.0,8.92515343802823
2018,MO,petroleum,99754.67,18000000.0,180.44268002691
2018,MS,all coal products,5280043.37,161300000.0,30.548991494363424
2018,MS,natural gas,49481810.550000004,1213000000.0,24.51405853014002
2018,MS,petroleum,27309.57,4200000.0,153.79224206020086
2018,MT,all coal products,13360026.219999999,297700000.0,22.28289039989624
2018,MT,natural gas,476370.12,6900000.0,14.484535679945669
2018,NC,all coal products,31690468.720000003,985400000.0,31.09452273194399
2018,NC,natural gas,43445749.27,1462400000.0,33.66037010690505
2018,NC,nuclear,42076949.0,271100000.0,6.442957639347853
2018,NC,petroleum,633081.0599999999,118800000.0,187.6536947733044
2018,ND,natural gas,1019272.85,29800000.0,29.236528766561378
2018,NE,all coal products,23305208.23,308300000.0,13.2288026331872
2018,NE,petroleum,12473.61,3400000.0,272.5754613139259
2018,NH,nuclear,10061696.0,71400000.0,7.096219166232015
2018,NJ,all coal products,1193287.94,58700000.0,49.19181534676367
2018,NM,natural gas,11628177.18,249000000.0,21.413502404166152
2018,NM,petroleum,20736.760000000002,4700000.0,226.65064359138069
2018,NV,all coal products,2485045.78,86500000.0,34.80821186320359
2018,NV,natural gas,26688611.5,655500000.0,24.561037954334942
2018,NV,petroleum,10245.22,2300000.0,224.49493519904894
2018,NY,nuclear,42919011.0,319800000.0,7.451243459454366
2018,OH,all coal products,58726962.24,1066700000.0,18.163718321419513
2018,OH,nuclear,18315007.0,137600000.0,7.512964641509556
2018,OH,petroleum,1315746.3800000001,65700000.0,49.93363538647927
2018,OK,natural gas,41612985.56,919100000.0,22.086855524335995
2018,OR,all coal products,1476390.96,36300000.0,24.58698338277552
2018,OR,natural gas,17922776.549999997,289800000.0,16.169369695121265
2018,OR,petroleum,4856.3099999999995,900000.0,185.32589558739045
2018,PA,natural gas,76390858.58,1707100000.0,22.346914692839157
2018,PA,petroleum,625646.7699999999,122100000.0,195.1580442107933
2018,SD,all coal products,2339336.6799999997,46000000.0,19.66369372706113
2018,SD,natural gas,1167718.82,27700000.0,23.721464042174123
2018,SD,petroleum,6396.19,2000000.0,312.68614597127356
2018,TN,petroleum,129555.38999999998,21100000.0,162.86470211698642
2018,TX,all coal products,111722642.76,2070699999.9999998,18.53429124880468
2018,TX,natural gas,239713083.9,5211000000.0,21.738488009164527
2018,TX,nuclear,41185739.0,292200000.0,7.094688770790297
2018,TX,petroleum,129312.92,10100000.0,78.10511122941158
2018,VA,all coal products,9266275.52,281800000.0,30.411355607954125
2018,VA,natural gas,50160300.86,1553000000.0,30.960739337160348
2018,VT,natural gas,1796.6299999999999,0.0,0.0
2018,VT,petroleum,3131.6099999999997,700000.0,223.52719527655105
2018,WA,all coal products,5382866.13,140100000.0,26.02702660933535
2018,WA,natural gas,10535077.799999999,245200000.0,23.274626410447585
2018,WA,nuclear,9708441.0,75600000.0,7.787038104264114
2018,WA,petroleum,23656.46,2600000.0,109.90655406599298
2018,WI,all coal products,33322379.49,779900000.0,23.40469113960025
2018,WI,natural gas,16798655.59,424700000.0,25.281785064563014
2018,WI,nuclear,10129122.0,71900000.0,7.0983447528818395
2018,WI,petroleum,137511.33,10900000.0,79.26619573819845
2018,WV,natural gas,1420390.44,37100000.0,26.119578782859172
2018,WV,petroleum,158884.97,27700000.0,174.33996431506392
2018,WY,all coal products,39679287.0,712900000.0,17.96655267520306
2018,WY,petroleum,40135.689999999995,6900000.0,171.91681518369313
2019,AL,petroleum,19919.85,2500000.0,125.50295308448608
2019,AR,natural gas,21772400.2,426200000.0,19.57524186975031
2019,AR,nuclear,13574947.0,95900000.0,7.064484303327299
2019,AZ,natural gas,46084366.650000006,787500000.0,17.08822442935754
2019,AZ,nuclear,31920368.0,243300000.0,7.622092577378807
2019,AZ,petroleum,63747.909999999996,12100000.0,189.81014436394858
2019,CA,nuclear,16165384.0,113600000.0,7.027361676035658
2019,CA,petroleum,50952.93,5800000.0,113.83054909698029
2019,CO,natural gas,17097115.93,448900000.0,26.255890282192173
2019,DC,natural gas,110123.04000000001,0.0,0.0
2019,DE,petroleum,18718.33,2900000.0,154.92835098002865
2019,FL,all coal products,21248194.37,632300000.0,29.757822664345287
2019,FL,petroleum,1525283.7999999998,76400000.0,50.08903916766179
2019,GA,nuclear,33591181.0,271600000.0,8.085455524770028
2019,IA,all coal products,22159202.64,341800000.0,15.424742737945376
2019,IA,nuclear,5235716.0,37500000.0,7.162344176040106
2019,ID,all coal products,21008.469999999998,0.0,0.0
2019,ID,natural gas,4266684.3,128500000.0,30.11706303182544
2019,IL,nuclear,98735488.0,691800000.0,7.006599288798776
2019,KS,petroleum,78140.34,15100000.0,193.2420565357151
2019,KY,petroleum,50359.15,14300000.0,283.9603130712095
2019,LA,all coal products,7418814.16,272200000.0,36.69049987363479
2019,LA,natural gas,69522954.01,952300000.0,13.69763430741196
2019,LA,nuclear,13981335.0,93800000.0,6.708944460596932
2019,MA,natural gas,15406573.06,507400000.0,32.93399499187524
2019,MA,nuclear,2177204.0,15600000.0,7.165153104624096
2019,MD,natural gas,14605261.360000001,312900000.0,21.423786421032588
2019,MD,petroleum,67268.53,14600000.0,217.0405685987192
2019,MI,nuclear,32909275.0,200000000.0,6.077314070273502
2019,MI,petroleum,915188.45,29300000.0,32.01526417865086
2019,MN,all coal products,17804537.86,376200000.0,21.129444805482866
2019,MO,all coal products,55686285.279999994,942600000.0,16.926968557167154
2019,MO,natural gas,7674804.32,172500000.0,22.476143079045954
2019,MO,nuclear,9189863.0,79300000.0,8.629073142874926
2019,MO,petroleum,97144.51,17700000.0,182.20278222619066
2019,MS,all coal products,4414339.9399999995,148500000.0,33.64036345601422
2019,MS,natural gas,48780504.75,1016500000.0,20.83824276131542
2019,MS,petroleum,13703.24,2000000.0,145.9508846083116
2019,MT,all coal products,14100661.66,303400000.0,21.51672079762532
2019,MT,natural gas,507212.82,9000000.0,17.744030996692867
2019,NC,all coal products,30672101.13,859700000.0,28.028728659841896
2019,ND,petroleum,33586.54,5700000.0,169.71084249821504
2019,NE,natural gas,1276855.56,38000000.0,29.760609727853634
2019,NE,nuclear,6951600.0,49800000.0,7.163818401519075
2019,NH,all coal products,343015.44,14000000.0,40.81448928363108
2019,NH,natural gas,3582516.35,197400000.0,55.10093484988561
2019,NH,petroleum,30089.94,2700000.0,89.73098650246561
2019,NJ,all coal products,1041528.4999999999,42400000.0,40.70939969477552
2019,NJ,natural gas,40449133.14,845000000.0,20.89043532961112
2019,NJ,nuclear,26637324.0,183900000.0,6.903846647658751
2019,NJ,petroleum,142423.28,6000000.0,42.12794425181052
2019,NM,all coal products,14691665.049999999,373400000.0,25.415771373034403
2019,NM,natural gas,11803191.83,134500000.0,11.395222744592129
