period,seriesId,seriesDescription,stateId,stateDescription,value,unit
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,GA,Georgia,262.5,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,HI,Hawaii,0,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,IA,Iowa,19.7,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,ID,Idaho,0,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,IL,Illinois,666.8,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,IN,Indiana,0,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,KS,Kansas,62.4,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,KY,Kentucky,0,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,LA,Louisiana,98.1,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,MA,Massachusetts,0,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,MD,Maryland,97.7,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,ME,Maine,0,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,MI,Michigan,162.3,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,MN,Minnesota,123.5,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,MO,Missouri,68.1,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,MS,Mississippi,25.6,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,MT,Montana,0,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,NC,North Carolina,263.5,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,ND,North Dakota,0,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,NE,Nebraska,41.9,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,NH,New Hampshire,63.9,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,NJ,New Jersey,176.3,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,NM,New Mexico,0,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,NV,Nevada,0,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,NY,New York,255.4,Million dollars
