PPA Execution Date,Capacity (MW),Term (years),CAISO,West (non-ISO),MISO,SPP,ERCOT,PJM,NYISO,ISO-NE,Southeast (non-ISO),Hawaii
9/1/06,7.0,20,#N/A,280.70,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/25/07,5.0,20,253.19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/1/08,550.0,25,170.77,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/23/08,210.0,25,148.73,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/19/08,10.0,20,196.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/23/09,30.0,25,#N/A,152.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/1/09,30.0,25,#N/A,#N/A,#N/A,#N/A,180.65,#N/A,#N/A,#N/A,#N/A,#N/A
3/5/09,19.0,20,#N/A,171.94,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/1/09,12.6,30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,236.08,#N/A
5/8/09,230.0,25,165.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/09,20.0,25,#N/A,147.20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/09,14.0,30,#N/A,#N/A,#N/A,#N/A,227.20,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/09,10.1,20,#N/A,#N/A,#N/A,#N/A,#N/A,259.67,#N/A,#N/A,#N/A,#N/A
6/22/09,48.0,20,194.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/17/09,250.0,20,164.41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/8/09,250.0,25,233.85,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/20/09,21.0,20,136.59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/23/09,50.0,20,#N/A,#N/A,#N/A,150.83,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/24/09,6.0,20,288.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/24/09,19.0,20,288.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/24/09,20.0,20,288.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/26/10,50.0,24,186.76,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/26/10,20.0,24,186.76,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/26/10,20.0,25,190.61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/2/10,50.0,25,#N/A,156.98,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/24/10,300.0,25,160.95,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/6/10,40.0,25,153.71,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/19/10,29.0,20,#N/A,119.74,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/21/10,66.0,20,160.42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/29/10,25.0,20,#N/A,150.31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/10/10,125.0,20,151.64,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/20/10,25.8,25,181.38,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/10,32.0,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,363.40,#N/A,#N/A,#N/A
6/1/10,20.0,20,#N/A,150.31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/24/10,23.0,20,#N/A,147.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/30/10,12.0,25,#N/A,113.96,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/30/10,10.0,25,#N/A,113.95,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/26/10,20.0,25,#N/A,151.54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/29/10,150.0,20,179.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/29/10,45.0,20,146.77,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/10/10,30.0,25,#N/A,151.35,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/10/10,5.5,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,220.91,#N/A
8/24/10,23.0,30,#N/A,128.54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/20/10,62.5,20,146.50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/10/10,130.0,25,148.44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/15/10,14.0,20,91.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/15/10,20.0,20,88.18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/1/10,9.0,20,#N/A,157.40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/1/10,7.7,25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,166.76,#N/A
12/21/10,60.0,20,151.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/30/10,309.0,20,128.72,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/30/10,20.0,20,169.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/5/11,270.0,20,129.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/7/11,110.0,20,145.28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/25/11,26.0,25,152.56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/7/11,250.0,20,#N/A,134.81,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/11/11,30.0,25,#N/A,128.63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/11/11,20.0,25,#N/A,132.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/8/11,150.0,26,105.99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/3/11,110.0,25,134.77,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/3/11,127.0,25,#N/A,125.08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/21/11,150.0,25,120.91,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/8/11,24.0,25,140.55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/14/11,20.0,25,113.17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/18/11,6.0,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,222.32
7/21/11,150.0,25,133.11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/29/11,250.0,20,96.31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/1/11,9.0,20,#N/A,155.93,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/1/11,20.0,20,#N/A,#N/A,#N/A,#N/A,#N/A,255.67,#N/A,#N/A,#N/A,#N/A
12/8/11,19.0,20,#N/A,122.10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/20/11,20.0,30,#N/A,95.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/20/11,30.0,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,128.71,#N/A
12/20/11,20.0,30,#N/A,93.39,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/1/12,15.0,30,#N/A,95.80,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/1/12,15.0,30,#N/A,85.95,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/3/12,200.0,25,99.16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/27/12,20.0,20,91.17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/3/12,20.0,20,103.04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/3/12,20.0,20,109.39,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/3/12,20.0,3,104.38,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/13/12,20.0,20,106.22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/16/12,102.0,20,103.85,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/29/12,20.0,20,100.77,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/31/12,250.0,20,#N/A,102.93,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/17/12,20.0,20,98.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/17/12,20.8,20,117.24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/17/12,10.0,20,101.29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/25/12,50.0,20,#N/A,62.79,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/1/12,20.0,25,79.53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/15/12,20.0,25,91.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/12/12,250.0,25,#N/A,88.74,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/13/12,20.0,20,#N/A,95.57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/4/13,28.8,15,#N/A,#N/A,113.42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/28/13,45.0,20,89.86,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/22/13,20.0,20,102.55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/22/13,20.0,20,100.98,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/25/13,20.0,20,85.04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/10/13,20.0,20,97.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/16/13,20.0,15,71.78,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/13,20.0,30,64.23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/3/13,48.0,25,#N/A,73.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/3/13,40.0,25,#N/A,74.13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/19/13,12.0,25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,169.98
7/3/13,50.0,25,#N/A,62.73,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/10/13,40.0,30,64.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/10/13,20.0,30,68.67,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/17/13,20.0,10,94.40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/17/13,12.0,10,94.40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/6/13,15.0,20,74.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/19/13,20.0,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,110.69,#N/A,#N/A
9/27/13,20.0,20,70.71,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/9/13,20.0,25,73.40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
